Title,Price,Reviews,Rating,Link
"Samsung Galaxy Tab A11, Wifi, Android Tablet, Gray, 8GB RAM, 128GB Storage, 8.7"" Screen (KSA Version)",640.53,110,4.4,https://www.amazon.sa/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5XPNH7
"HONOR Pad X8b WiFi Tablet 11-Inch 90Hz FHD Display, 10100mAh Battery, 4GB RAM + 64GB Expandable Storage (Up to 1TB), SGS 5-Star Drop Resistance, 4 Speakers, 15W Fast Charging, Metal Body, Space Grey",799.00,31,4.1,https://www.amazon.sa/-/en/HONOR-10100mAh-Expandable-Resistance-Speakers/dp/B0GZWHPD35
"Samsung Galaxy Tab A11+, WiFi, Android Tablet, Silver, 6GB RAM, 128GB Storage, 11"" Screen (KSA Version)",799.00,51,4.0,https://www.amazon.sa/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBHY4F7
"HUAWEI MatePad SE 11'' 4+128GB Grey Tablet, FullView Display, Large Capacity Battery, Without Pen, 1-Year Amazon Exclusive Huawei Care+",699.00,7,4.0,https://www.amazon.sa/-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0G9VMXB18
"HUAWEI MatePad SE 11'' 8+128GB Nebula Grey Tablet, FullView Display, Large Capacity Battery, 1-Year Amazon Exclusive Huawei Care+",799.00,13,4.4,https://www.amazon.sa/-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0GFWRDWZD
"Android Tablet 11″ – Philips T7310, 8GB RAM + 128GB ROM, 1TB Expandable, Octa-Core T616, 7200mAh Battery, HD Eye Protection Display, WiFi 6, Dual Cameras, Android 16, Gemini AI (T7310-WIFI)",599.00,9,3.5,https://www.amazon.sa/-/en/Android-Tablet-11%E2%80%B3-Expandable-Protection/dp/B0GPCHFPSH
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Yellow","1,834.53",1.2K,4.5,https://www.amazon.sa/-/en/Apple-iPad-11-inch-Display-All-Day/dp/B0DZ78TB4N
"TABWEE Tablet 10 Inch Android 16 Tablet with Keyboard, 24GB RAM (8+16GB Ext.) 256GB ROM (2TB TF Expand), Octa-Core 2 in 1 Android Tablet, 5G WiFi, 5000mAh, GPS, Gemini AI, Space Gray",399.99,192,4.4,https://www.amazon.sa/-/en/TABWEE-Android-Keyboard-Octa-Core-5000mAh/dp/B0F991H9R9
"Lenovo Idea Tab, 11 INCH, 2.5K, 2560x1600, LUNA GREY, MediaTek® Dimensity 6300 OC, 8GB Ram, 256GB Storage, WIFI, 7040 mAh Battery, with Folio Case and Pen, TB336FU, ZAFR0843SA","1,199.00",9,4.8,https://www.amazon.sa/-/en/Lenovo-2560x1600-MediaTek%C2%AE-TB336FU-ZAFR0843SA/dp/B0FRNB54XY
"HONOR Magic Pad 3 13.3"" Tablet with Magic Pencil & Smart Keyboard, 16GB RAM 512GB Storage, 165Hz 3.2K Eye Comfort Display, Snapdragon 8 Gen 3, 12450mAh Battery, 8 Speakers, PC-Level Productivity, Gray","2,899.00",11,4.4,https://www.amazon.sa/-/en/HONOR-Keyboard-Snapdragon-12450mAh-Productivity/dp/B0FMY8QNNX
