GrLivArea,TotalBsmtSF,OverallQual,YearBuilt,LotFrontage,MasVnrArea,Neighborhood,BldgType,CentralAir,GarageType,KitchenQual,BsmtQual,SalePrice
1710,856,7,2003,65.0,196.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,208500
1262,1262,6,1976,80.0,0.0,Veenker,1Fam,Y,Attchd,TA,Gd,181500
1786,920,7,2001,68.0,162.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,223500
1717,756,7,1915,60.0,0.0,Crawfor,1Fam,Y,Detchd,Gd,TA,140000
2198,1145,8,2000,84.0,350.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,250000
1362,796,5,1993,85.0,0.0,Mitchel,1Fam,Y,Attchd,TA,Gd,143000
1694,1686,8,2004,75.0,186.0,Somerst,1Fam,Y,Attchd,Gd,Ex,307000
2090,1107,7,1973,,240.0,NWAmes,1Fam,Y,Attchd,TA,Gd,200000
1774,952,7,1931,51.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,129900
1077,991,5,1939,50.0,0.0,BrkSide,2fmCon,Y,Attchd,TA,TA,118000
1040,1040,5,1965,70.0,0.0,Sawyer,1Fam,Y,Detchd,TA,TA,129500
2324,1175,9,2005,85.0,286.0,NridgHt,1Fam,Y,BuiltIn,Ex,Ex,345000
912,912,5,1962,,0.0,Sawyer,1Fam,Y,Detchd,TA,TA,144000
1494,1494,7,2006,91.0,306.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,279500
1253,1253,6,1960,,212.0,NAmes,1Fam,Y,Attchd,TA,TA,157000
854,832,7,1929,51.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,132000
1004,1004,6,1970,,180.0,NAmes,1Fam,Y,Attchd,TA,TA,149000
1296,0,4,1967,72.0,0.0,Sawyer,Duplex,Y,CarPort,TA,,90000
1114,1114,5,2004,66.0,0.0,SawyerW,1Fam,Y,Detchd,Gd,TA,159000
1339,1029,5,1958,70.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,139000
2376,1158,8,2005,101.0,380.0,NridgHt,1Fam,Y,BuiltIn,Gd,Ex,325300
1108,637,7,1930,57.0,0.0,IDOTRR,1Fam,Y,Attchd,Gd,TA,139400
1795,1777,8,2002,75.0,281.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,230000
1060,1040,5,1976,44.0,0.0,MeadowV,TwnhsE,Y,Attchd,TA,Gd,129900
1060,1060,5,1968,,0.0,Sawyer,1Fam,Y,Attchd,Gd,TA,154000
1600,1566,8,2007,110.0,640.0,NridgHt,1Fam,Y,Attchd,Gd,Gd,256300
900,900,5,1951,60.0,0.0,NAmes,1Fam,Y,Detchd,Gd,TA,134800
1704,1704,8,2007,98.0,200.0,NridgHt,1Fam,Y,Attchd,Gd,Ex,306000
1600,1484,5,1957,47.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,207500
520,520,4,1927,60.0,0.0,BrkSide,1Fam,N,Detchd,Fa,TA,68500
1317,649,4,1920,50.0,0.0,IDOTRR,1Fam,N,Detchd,TA,TA,40000
1228,1228,5,1966,,0.0,Sawyer,1Fam,Y,Attchd,Gd,TA,149350
1234,1234,8,2007,85.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Ex,179900
1700,1398,5,1959,70.0,0.0,NAmes,1Fam,Y,Attchd,Gd,TA,165500
1561,1561,9,2005,60.0,246.0,NridgHt,TwnhsE,Y,Attchd,Ex,Ex,277500
2452,1117,8,2004,108.0,132.0,NridgHt,1Fam,Y,BuiltIn,Gd,Ex,309000
1097,1097,5,1994,112.0,0.0,CollgCr,1Fam,Y,Attchd,TA,Gd,145000
1297,1297,5,1954,74.0,650.0,NAmes,1Fam,Y,Attchd,TA,TA,153000
1057,1057,5,1953,68.0,0.0,NAmes,1Fam,Y,Detchd,Gd,TA,109000
1152,0,4,1955,65.0,0.0,Edwards,Duplex,N,,Fa,,82000
1324,1088,6,1965,84.0,101.0,NAmes,1Fam,Y,Attchd,TA,TA,160000
1328,1350,5,1959,115.0,0.0,Timber,1Fam,Y,Attchd,TA,TA,170000
884,840,5,1983,,0.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,144000
938,938,5,1975,,0.0,CollgCr,1Fam,Y,Detchd,TA,Gd,130250
1150,1150,5,1959,70.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,141000
1752,1752,9,2005,61.0,412.0,NridgHt,TwnhsE,Y,Attchd,Ex,Ex,319900
2149,1434,7,2003,48.0,0.0,Mitchel,1Fam,Y,Attchd,Gd,Ex,239686
1656,1656,8,2006,84.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,249700
1452,736,4,1920,33.0,0.0,OldTown,2fmCon,Y,,TA,TA,113000
955,955,5,1966,66.0,0.0,Sawyer,1Fam,Y,Attchd,TA,TA,127000
1470,794,6,1997,,0.0,Gilbert,1Fam,Y,Attchd,TA,Gd,177000
1176,816,6,1934,52.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,114500
816,816,5,1963,110.0,0.0,IDOTRR,Duplex,N,CarPort,TA,Gd,110000
1842,1842,9,1981,68.0,0.0,Veenker,1Fam,Y,Attchd,Gd,Ex,385000
1360,384,5,1955,60.0,0.0,NAmes,1Fam,Y,Detchd,TA,TA,130000
1425,1425,6,1964,100.0,272.0,NAmes,1Fam,Y,Attchd,TA,TA,180500
1739,970,8,1999,24.0,456.0,Somerst,Twnhs,Y,Attchd,Gd,Gd,172500
1720,860,7,2004,89.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,196500
2945,1410,10,2006,66.0,1031.0,StoneBr,1Fam,Y,BuiltIn,Gd,Ex,438780
780,780,5,1972,60.0,0.0,CollgCr,1Fam,Y,Detchd,TA,TA,124900
1158,1158,6,2004,63.0,0.0,SawyerW,1Fam,Y,Detchd,Gd,Gd,158000
1111,530,5,1920,60.0,0.0,IDOTRR,1Fam,N,Detchd,Fa,TA,101000
1370,1370,8,2006,44.0,178.0,NridgHt,TwnhsE,Y,Attchd,Gd,Gd,202500
1710,576,7,1921,50.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,140000
2034,1057,7,1997,,573.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,219500
2473,1143,8,2004,76.0,344.0,NridgHt,1Fam,Y,BuiltIn,Gd,Ex,317000
2207,1947,7,1970,,287.0,NAmes,1Fam,Y,Attchd,TA,Gd,180000
1479,1453,7,2003,72.0,167.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,226000
747,747,4,1945,47.0,0.0,OldTown,1Fam,Y,Attchd,TA,TA,80000
2287,1304,7,1953,81.0,0.0,ClearCr,1Fam,Y,Attchd,TA,TA,225000
2223,2223,7,1973,95.0,1115.0,NAmes,1Fam,Y,Attchd,TA,Gd,244000
845,845,4,1982,69.0,0.0,Mitchel,1Fam,Y,Detchd,TA,TA,129500
1718,832,7,1998,74.0,40.0,Gilbert,1Fam,Y,Attchd,TA,Gd,185000
1086,1086,5,1954,85.0,104.0,NAmes,1Fam,Y,Attchd,TA,TA,144900
1605,840,3,1915,60.0,0.0,OldTown,1Fam,N,Detchd,TA,Fa,107400
988,462,4,1973,21.0,0.0,MeadowV,Twnhs,Y,BuiltIn,TA,Gd,91000
952,952,4,1956,,0.0,NAmes,1Fam,Y,Detchd,TA,TA,135750
1285,672,5,1948,50.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,127000
1768,1768,4,1968,72.0,0.0,Sawyer,Duplex,N,,TA,TA,136500
1230,440,5,1910,60.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,110000
2142,896,6,1968,100.0,576.0,NAmes,1Fam,Y,Attchd,Gd,Gd,193500
1337,1237,6,1998,32.0,443.0,Mitchel,TwnhsE,Y,Attchd,TA,Ex,153500
1563,1563,8,2007,78.0,468.0,Somerst,1Fam,Y,Attchd,Gd,Gd,245000
1065,1065,5,1960,80.0,66.0,NAmes,1Fam,Y,Detchd,TA,TA,126500
1474,384,7,1995,,22.0,Gilbert,1Fam,Y,BuiltIn,TA,Gd,168500
2417,1288,8,1991,121.0,284.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,260000
1560,684,6,2005,122.0,0.0,Gilbert,1Fam,Y,BuiltIn,Gd,Gd,174000
1224,612,6,2009,40.0,76.0,Somerst,TwnhsE,Y,Detchd,Gd,Gd,164500
1526,1013,3,1915,105.0,0.0,IDOTRR,1Fam,N,,Fa,TA,85000
990,990,4,1994,60.0,0.0,CollgCr,1Fam,Y,,TA,Gd,123600
1040,0,4,1950,60.0,0.0,NAmes,1Fam,Y,Detchd,TA,,109900
1235,1235,5,1961,85.0,203.0,NAmes,1Fam,Y,Attchd,TA,TA,98600
964,876,5,1921,80.0,0.0,Crawfor,1Fam,Y,Detchd,TA,Gd,163500
2291,1214,6,1910,60.0,0.0,OldTown,2fmCon,N,Detchd,TA,TA,133900
1786,824,6,1997,69.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,204750
1470,680,6,1993,,68.0,Gilbert,1Fam,Y,BuiltIn,TA,Gd,185000
1588,1588,7,1999,78.0,183.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,214000
960,960,4,1965,73.0,48.0,Edwards,1Fam,Y,Attchd,TA,TA,94750
835,458,5,1920,85.0,0.0,Edwards,1Fam,N,Basment,TA,TA,83000
1225,950,4,1959,77.0,0.0,NAmes,1Fam,Y,,TA,TA,128950
1610,1610,6,1977,,28.0,NWAmes,1Fam,Y,Attchd,Gd,TA,205000
1732,741,6,1985,77.0,336.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,178000
1535,0,5,1979,64.0,0.0,SawyerW,Duplex,Y,Attchd,TA,,118964
1226,1226,7,2009,94.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,198900
1818,1040,7,1931,,600.0,IDOTRR,1Fam,Y,Detchd,TA,TA,169500
1992,1053,8,2003,75.0,768.0,Somerst,1Fam,Y,Attchd,Gd,Ex,250000
1047,641,4,1885,60.0,0.0,OldTown,1Fam,Y,Detchd,TA,Fa,100000
789,789,5,1948,50.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,115000
1517,793,5,1919,85.0,0.0,IDOTRR,1Fam,N,,Fa,TA,115000
1844,1844,6,1977,105.0,480.0,NWAmes,1Fam,Y,Attchd,TA,Gd,190000
1855,994,6,1954,75.0,0.0,Edwards,1Fam,Y,Attchd,TA,TA,136900
1430,384,7,2000,,0.0,Gilbert,1Fam,Y,BuiltIn,TA,Gd,180000
2696,1264,7,2007,77.0,220.0,CollgCr,1Fam,Y,BuiltIn,Ex,Ex,383970
2259,1809,6,1953,,184.0,Crawfor,1Fam,Y,Basment,Gd,Gd,217000
2320,1028,6,1945,61.0,0.0,Crawfor,1Fam,Y,Detchd,Gd,TA,259500
1458,729,6,1999,34.0,1129.0,Somerst,TwnhsE,Y,Detchd,TA,Gd,176000
1092,1092,5,1962,,116.0,Sawyer,1Fam,Y,Attchd,TA,TA,139000
1125,1125,5,2006,74.0,0.0,Edwards,1Fam,Y,Attchd,TA,Gd,155000
3222,1673,7,1990,90.0,0.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,320000
1456,728,6,2005,65.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,163990
988,938,6,1969,,0.0,ClearCr,1Fam,Y,Attchd,TA,TA,180000
1123,732,4,1939,50.0,0.0,IDOTRR,1Fam,Y,Detchd,TA,TA,100000
1080,1080,6,1958,75.0,135.0,NAmes,1Fam,Y,Attchd,TA,TA,136000
1199,1199,6,1993,55.0,0.0,SawyerW,TwnhsE,Y,Attchd,Gd,Gd,153900
1586,1362,6,1979,48.0,0.0,NWAmes,1Fam,Y,Attchd,TA,Gd,181000
754,520,6,1935,60.0,0.0,IDOTRR,2fmCon,N,,TA,TA,84500
958,1078,6,1976,,0.0,NPkVill,TwnhsE,Y,Attchd,TA,Gd,128000
840,672,5,1930,55.0,0.0,OldTown,1Fam,Y,,TA,TA,87000
1348,660,6,1966,69.0,266.0,NAmes,1Fam,Y,Attchd,TA,TA,155000
1053,1008,5,1958,69.0,85.0,NAmes,1Fam,Y,2Types,Ex,TA,150000
2157,924,7,1966,88.0,309.0,NAmes,1Fam,Y,Attchd,Gd,TA,226000
2054,992,6,2000,,40.0,Gilbert,1Fam,Y,BuiltIn,Gd,Gd,244000
1327,1063,5,1959,75.0,0.0,NAmes,1Fam,Y,Detchd,Gd,TA,150750
1296,1267,8,2001,,136.0,Timber,1Fam,Y,Attchd,Gd,Ex,220000
1721,1461,5,1968,78.0,0.0,Sawyer,1Fam,Y,Attchd,TA,TA,180000
1682,1304,7,1970,80.0,288.0,NWAmes,1Fam,Y,Attchd,TA,TA,174000
1214,1214,5,1967,,196.0,NAmes,1Fam,Y,Attchd,TA,TA,143000
1959,1907,7,1988,82.0,70.0,Mitchel,Duplex,Y,2Types,TA,TA,171000
1852,1004,8,1999,73.0,320.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,230000
1764,928,6,1997,65.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,231500
864,864,4,1971,70.0,0.0,NAmes,1Fam,Y,,TA,TA,115000
1734,1734,7,2005,78.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,260000
1385,910,5,1952,71.0,0.0,NAmes,1Fam,Y,Detchd,TA,TA,166000
1501,1490,7,1999,78.0,183.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,204000
1728,1728,5,1963,70.0,336.0,Sawyer,Duplex,Y,Detchd,TA,TA,125000
1709,970,6,2004,24.0,50.0,Edwards,Twnhs,Y,Detchd,Gd,Gd,130000
875,715,5,1931,51.0,0.0,BrkSide,1Fam,Y,Detchd,TA,TA,105000
2035,884,7,2001,,180.0,Gilbert,1Fam,Y,BuiltIn,Gd,Gd,222500
1080,1080,7,2004,63.0,120.0,SawyerW,1Fam,Y,,Gd,Gd,141000
1344,896,5,1936,,0.0,BrkSide,1Fam,Y,Detchd,TA,Gd,115000
969,969,5,1975,120.0,0.0,CollgCr,1Fam,Y,Attchd,TA,TA,122000
1710,1710,8,2007,107.0,436.0,NridgHt,1Fam,Y,Attchd,Gd,Ex,372402
1993,825,6,1971,,252.0,NWAmes,1Fam,Y,Attchd,TA,TA,190000
1252,1602,6,1960,,0.0,ClearCr,1Fam,Y,Attchd,TA,Gd,235000
1200,1200,6,1923,84.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,125000
1096,572,6,1924,60.0,0.0,Edwards,1Fam,N,,TA,TA,79000
1040,0,5,1950,60.0,0.0,NAmes,1Fam,Y,Detchd,TA,,109500
1968,774,8,2009,92.0,84.0,Timber,1Fam,Y,BuiltIn,Ex,Ex,269500
1947,991,7,2004,100.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,254900
2462,1392,7,2005,134.0,456.0,Gilbert,1Fam,Y,Attchd,Gd,Gd,320000
1232,1232,6,1984,,0.0,Veenker,1Fam,Y,Attchd,TA,Gd,162500
2668,1572,9,2003,110.0,664.0,NridgHt,1Fam,Y,BuiltIn,Ex,Ex,412500
1541,1541,7,2005,95.0,226.0,NridgHt,1Fam,Y,Attchd,Gd,Gd,220000
882,882,4,1956,55.0,0.0,OldTown,1Fam,Y,,TA,TA,103200
1616,1149,6,1926,40.0,0.0,OldTown,1Fam,Y,Detchd,Gd,TA,152000
1355,644,5,1940,62.0,0.0,Edwards,2fmCon,Y,,TA,TA,127500
1867,1617,5,1955,,0.0,ClearCr,1Fam,Y,Attchd,TA,TA,190000
2161,1582,8,2007,86.0,300.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,325624
1720,840,7,2004,62.0,0.0,Gilbert,1Fam,Y,Attchd,Gd,Gd,183500
1707,1686,8,1981,,653.0,Timber,1Fam,Y,Attchd,TA,Gd,228000
1382,720,5,1941,,0.0,OldTown,1Fam,Y,Detchd,TA,TA,128500
1656,1080,6,1960,141.0,112.0,NAmes,1Fam,Y,Attchd,TA,TA,215000
1767,1064,7,1987,44.0,0.0,StoneBr,TwnhsE,Y,Attchd,Gd,Gd,239000
1362,1362,6,1961,80.0,491.0,NAmes,1Fam,Y,Attchd,TA,TA,163000
1651,1606,6,1986,47.0,132.0,Timber,1Fam,Y,Attchd,TA,Gd,184000
2158,1202,6,1950,84.0,0.0,Edwards,1Fam,Y,Attchd,Gd,TA,243000
2060,1151,6,1988,97.0,268.0,ClearCr,1Fam,Y,Attchd,TA,Gd,211000
1920,1052,5,1958,,0.0,Sawyer,1Fam,Y,Attchd,Gd,TA,172500
2234,2216,9,2008,63.0,748.0,StoneBr,1Fam,Y,Attchd,Ex,Ex,501837
968,968,5,1923,60.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,100000
1525,756,6,2000,,456.0,Somerst,Twnhs,Y,Detchd,Gd,Gd,177000
1802,793,7,1920,54.0,0.0,Crawfor,1Fam,Y,Detchd,TA,Fa,200100
1340,0,5,1957,60.0,98.0,Edwards,1Fam,Y,Attchd,TA,,120000
2082,1362,7,2003,63.0,0.0,OldTown,1Fam,Y,Detchd,Gd,Gd,200000
1252,504,5,1908,92.0,0.0,BrkSide,1Fam,Y,Attchd,TA,Fa,127000
3608,1107,10,1892,90.0,0.0,OldTown,1Fam,Y,Detchd,Ex,TA,475000
1217,1188,7,1990,,0.0,Mitchel,1Fam,Y,Attchd,Gd,Gd,173000
1656,660,5,1916,60.0,0.0,OldTown,1Fam,Y,Detchd,TA,Fa,135000
1224,1086,5,1979,64.0,275.0,SawyerW,Duplex,Y,Detchd,TA,Gd,153337
1593,1593,8,2001,41.0,0.0,StoneBr,TwnhsE,Y,Attchd,Ex,Ex,286000
2727,853,8,1932,70.0,0.0,Crawfor,1Fam,Y,Detchd,Gd,Gd,315000
1479,725,7,1972,,138.0,NAmes,1Fam,Y,Attchd,Gd,TA,184000
1431,1431,7,1999,68.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,192000
1709,970,7,2004,24.0,50.0,Edwards,Twnhs,Y,Detchd,Gd,Gd,130000
864,864,5,1972,60.0,0.0,CollgCr,1Fam,Y,Detchd,TA,TA,127000
1456,855,6,1976,24.0,0.0,NPkVill,Twnhs,Y,Attchd,TA,Gd,148500
1726,1726,7,2007,79.0,205.0,Somerst,1Fam,Y,Attchd,Ex,Ex,311872
3112,1360,8,1918,174.0,0.0,NAmes,1Fam,Y,Detchd,Gd,TA,235000
2229,755,6,1912,92.0,0.0,OldTown,1Fam,Y,,TA,TA,104000
1713,1713,8,2004,76.0,262.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,274900
1121,1121,4,2003,80.0,0.0,Edwards,1Fam,Y,Attchd,TA,Gd,140000
1279,1196,6,1977,75.0,0.0,Mitchel,1Fam,Y,Detchd,TA,TA,171500
1310,617,6,1924,50.0,0.0,OldTown,1Fam,Y,Attchd,TA,Fa,112000
848,848,6,2004,,205.0,CollgCr,TwnhsE,Y,Attchd,Gd,Gd,149000
1284,720,5,1947,50.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,110000
1442,1424,7,1990,99.0,0.0,Gilbert,1Fam,Y,Attchd,TA,Gd,180500
1696,1140,5,1962,40.0,0.0,Sawyer,1Fam,Y,Attchd,TA,TA,143900
1100,1100,4,1960,,0.0,NAmes,1Fam,Y,Attchd,TA,TA,141000
2062,1157,7,1988,,128.0,SawyerW,1Fam,Y,Attchd,TA,Gd,277000
1092,1092,6,1964,75.0,260.0,NAmes,1Fam,Y,Attchd,TA,Gd,145000
864,864,5,1925,67.0,0.0,Edwards,1Fam,N,,TA,TA,98000
1212,1212,6,2009,83.0,0.0,Edwards,1Fam,Y,Attchd,Gd,Gd,186000
1852,900,7,2009,72.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,252678
990,990,5,1995,43.0,0.0,CollgCr,1Fam,Y,Attchd,TA,Gd,156000
1392,689,6,1977,,153.0,CollgCr,1Fam,Y,Attchd,TA,Gd,161750
1236,1070,5,1957,72.0,64.0,NAmes,1Fam,Y,Attchd,Gd,TA,134450
1436,1436,7,2004,65.0,266.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,210000
1328,686,4,1925,57.0,0.0,OldTown,1Fam,N,Detchd,TA,TA,107000
1954,798,7,1939,,312.0,Crawfor,1Fam,Y,Attchd,Gd,TA,311500
1248,1248,7,2005,43.0,16.0,Blmngtn,TwnhsE,Y,Attchd,Gd,Gd,167240
1498,1498,7,2006,73.0,0.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,204900
2267,1010,6,2002,,0.0,Gilbert,1Fam,Y,BuiltIn,Gd,Gd,200000
1552,713,6,1975,85.0,0.0,NWAmes,1Fam,Y,Attchd,TA,Gd,179900
864,864,4,1971,70.0,0.0,NAmes,1Fam,Y,Detchd,TA,TA,97000
2392,2392,10,2003,103.0,922.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,386250
1302,630,5,1971,21.0,142.0,BrDale,Twnhs,Y,Detchd,TA,TA,112000
2520,1203,7,1995,82.0,290.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,290000
987,483,6,1970,21.0,127.0,BrDale,Twnhs,Y,Detchd,TA,TA,106000
912,912,5,1967,70.0,0.0,Sawyer,1Fam,Y,Detchd,TA,TA,125000
1555,1373,7,2005,43.0,16.0,Blmngtn,TwnhsE,Y,Attchd,Gd,Gd,192500
1194,1194,6,1959,73.0,220.0,NAmes,1Fam,Y,Attchd,TA,TA,148000
2794,1462,8,1995,174.0,506.0,NoRidge,1Fam,Y,Attchd,Ex,Gd,403000
987,483,6,1972,21.0,297.0,BrDale,Twnhs,Y,Attchd,TA,TA,94500
894,894,5,1976,75.0,0.0,CollgCr,1Fam,Y,Attchd,TA,TA,128200
1960,860,6,2002,,,Gilbert,1Fam,Y,BuiltIn,Gd,Gd,216500
987,483,6,1971,21.0,604.0,BrDale,TwnhsE,Y,Detchd,TA,TA,89500
1414,1414,7,2004,65.0,98.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,185500
1744,996,7,1993,,0.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,194500
1694,1694,8,2007,93.0,254.0,NridgHt,1Fam,Y,Attchd,Gd,Ex,318000
1487,735,6,1945,52.0,0.0,Edwards,1Fam,Y,Detchd,TA,TA,113000
1566,1566,8,2008,75.0,36.0,Somerst,1Fam,Y,Attchd,Gd,Gd,262500
866,686,5,1945,40.0,0.0,OldTown,1Fam,Y,,Gd,TA,110500
1440,540,5,1900,63.0,0.0,OldTown,1Fam,N,Attchd,TA,TA,79000
1217,626,6,1980,75.0,0.0,SawyerW,TwnhsE,Y,Attchd,TA,Gd,120000
2110,948,7,1994,,0.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,205000
1872,1845,7,1988,80.0,102.0,NWAmes,1Fam,Y,Attchd,TA,Gd,241500
1928,1020,6,1910,69.0,0.0,OldTown,2fmCon,N,Detchd,Fa,Fa,137000
1375,1367,6,1954,75.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,140000
1668,840,7,2003,72.0,101.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,180000
2144,1444,6,1958,,472.0,ClearCr,1Fam,Y,Attchd,Gd,Gd,277000
1306,728,3,1940,55.0,0.0,BrkSide,1Fam,Y,,Fa,TA,76500
1625,1573,8,2006,44.0,481.0,Crawfor,TwnhsE,Y,Attchd,Gd,Gd,235000
1640,798,6,2004,65.0,0.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,173000
1302,1302,6,1964,85.0,108.0,NAmes,1Fam,Y,Attchd,Gd,Gd,158000
1314,1314,5,1957,70.0,0.0,NAmes,1Fam,Y,Attchd,TA,TA,145000
2291,975,7,1999,66.0,302.0,Gilbert,1Fam,Y,BuiltIn,Gd,Gd,230000
1728,864,6,2003,64.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,207500
1604,1604,7,2006,68.0,180.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,220000
1792,963,7,2001,80.0,172.0,CollgCr,1Fam,Y,Attchd,Gd,Gd,231500
882,0,5,1956,70.0,0.0,OldTown,1Fam,Y,Detchd,TA,,97000
1382,1362,6,1962,120.0,399.0,NAmes,1Fam,Y,Attchd,TA,TA,176000
2574,1482,8,2007,69.0,270.0,CollgCr,1Fam,Y,BuiltIn,Ex,Ex,276000
1212,506,6,1977,88.0,46.0,Sawyer,1Fam,Y,Attchd,TA,Gd,151000
1316,926,5,1929,50.0,0.0,OldTown,1Fam,Y,Detchd,TA,TA,130000
764,680,5,1925,30.0,0.0,OldTown,1Fam,N,Detchd,TA,Fa,73000
1422,1422,6,1981,78.0,210.0,NWAmes,1Fam,Y,Attchd,Gd,Gd,175500
1511,802,6,1997,70.0,0.0,Gilbert,1Fam,Y,Attchd,TA,Gd,185000
2192,720,5,1939,60.0,0.0,SWISU,1Fam,Y,Detchd,Gd,TA,179500
778,740,5,1940,71.0,0.0,IDOTRR,1Fam,Y,Detchd,TA,TA,120500
1113,1143,6,1976,,174.0,Edwards,1Fam,Y,Attchd,TA,TA,148000
1939,1095,8,2006,84.0,0.0,Somerst,1Fam,Y,Attchd,Gd,Gd,266000
1363,1385,7,1954,73.0,0.0,ClearCr,1Fam,Y,Attchd,TA,Gd,241500
2270,1152,8,1999,92.0,348.0,NoRidge,1Fam,Y,Attchd,Gd,Gd,290000
1632,1240,6,1958,80.0,183.0,NAmes,1Fam,Y,Attchd,TA,TA,139000
816,816,5,1982,76.0,0.0,Mitchel,1Fam,Y,Attchd,TA,TA,124500
1548,952,7,1925,55.0,0.0,BrkSide,1Fam,N,Detchd,Ex,TA,205000
1560,1560,7,2003,129.0,0.0,Mitchel,1Fam,Y,Attchd,Gd,Ex,201000
864,864,4,1951,140.0,0.0,Gilbert,1Fam,Y,Detchd,TA,TA,141000
2121,2121,9,2006,107.0,315.0,NridgHt,1Fam,Y,Attchd,Ex,Ex,415298
2022,1160,7,1977,83.0,299.0,ClearCr,1Fam,Y,Attchd,TA,Gd,192000
1982,807,7,1989,82.0,340.0,SawyerW,1Fam,Y,Attchd,Gd,Gd,228500
1262,1262,6,2006,60.0,68.0,Somerst,1Fam,Y,Attchd,Gd,Gd,185000
1314,1314,7,2007,34.0,166.0,NridgHt,Twnhs,Y,Attchd,Gd,Gd,207500
1468,1468,8,2008,74.0,72.0,Somerst,1Fam,Y,Attchd,Gd,Gd,244600
1575,1575,6,1992,50.0,0.0,SawyerW,TwnhsE,Y,Attchd,Gd,Gd,179200
