month,thousands_of_passengers
1949-01-1,112
1949-02-1,118
1949-03-1,132
1949-04-1,129
1949-05-1,121
1949-06-1,135
1949-07-1,148
1949-08-1,148
1949-09-1,136
1949-10-1,119
1949-11-1,104
1949-12-1,118
1950-01-1,115
1950-02-1,126
1950-03-1,141
1950-04-1,135
1950-05-1,125
1950-06-1,149
1950-07-1,170
1950-08-1,170
1950-09-1,158
1950-10-1,133
1950-11-1,114
1950-12-1,140
1951-01-1,145
1951-02-1,150
1951-03-1,178
1951-04-1,163
1951-05-1,172
1951-06-1,178
1951-07-1,199
1951-08-1,199
1951-09-1,184
1951-10-1,162
1951-11-1,146
1951-12-1,166
1952-01-1,171
1952-02-1,180
1952-03-1,193
1952-04-1,181
1952-05-1,183
1952-06-1,218
1952-07-1,230
1952-08-1,242
1952-09-1,209
1952-10-1,191
1952-11-1,172
1952-12-1,194
1953-01-1,196
1953-02-1,196
1953-03-1,236
1953-04-1,235
1953-05-1,229
1953-06-1,243
1953-07-1,264
1953-08-1,272
1953-09-1,237
1953-10-1,211
1953-11-1,180
1953-12-1,201
1954-01-1,204
1954-02-1,188
1954-03-1,235
1954-04-1,227
1954-05-1,234
1954-06-1,264
1954-07-1,302
1954-08-1,293
1954-09-1,259
1954-10-1,229
1954-11-1,203
1954-12-1,229
1955-01-1,242
1955-02-1,233
1955-03-1,267
1955-04-1,269
1955-05-1,270
1955-06-1,315
1955-07-1,364
1955-08-1,347
1955-09-1,312
1955-10-1,274
1955-11-1,237
1955-12-1,278
1956-01-1,284
1956-02-1,277
1956-03-1,317
1956-04-1,313
1956-05-1,318
1956-06-1,374
1956-07-1,413
1956-08-1,405
1956-09-1,355
1956-10-1,306
1956-11-1,271
1956-12-1,306
1957-01-1,315
1957-02-1,301
1957-03-1,356
1957-04-1,348
1957-05-1,355
1957-06-1,422
1957-07-1,465
1957-08-1,467
1957-09-1,404
1957-10-1,347
1957-11-1,305
1957-12-1,336
1958-01-1,340
1958-02-1,318
1958-03-1,362
1958-04-1,348
1958-05-1,363
1958-06-1,435
1958-07-1,491
1958-08-1,505
1958-09-1,404
1958-10-1,359
1958-11-1,310
1958-12-1,337
1959-01-1,360
1959-02-1,342
1959-03-1,406
1959-04-1,396
1959-05-1,420
1959-06-1,472
1959-07-1,548
1959-08-1,559
1959-09-1,463
1959-10-1,407
1959-11-1,362
1959-12-1,405
1960-01-1,417
1960-02-1,391
1960-03-1,419
1960-04-1,461
1960-05-1,472
1960-06-1,535
1960-07-1,622
1960-08-1,606
1960-09-1,508
1960-10-1,461
1960-11-1,390
1960-12-1,432
