Name,Theme,Pieces,USD_MSRP,ppp
PreSchool Set,PreSchool,16.0,,
PreSchool Set,PreSchool,20.0,,
Pre-School Set,Duplo,21.0,,
PreSchool Set,PreSchool,32.0,,
Basic Set,Samsonite,330.0,,
Locomotive,Trains,87.0,,
Mobile Crane and Wagon,Trains,86.0,,
Tanker Wagon,Trains,83.0,,
Passenger Sleeping Car,Trains,82.0,,
Station,Trains,293.0,,
Train Set with Motor,Trains,369.0,,
Farm Set,Building Set with People,526.0,,
Airplane,Building Set with People,89.0,,
Building Ideas Book,Books,1.0,,
Helicopter and Pilot,Building Set with People,49.0,,
Family,Building Set with People,103.0,,
Farming Scene,Building Set with People,120.0,,
Windmill,LEGOLAND,215.0,,
Hospital,LEGOLAND,229.0,,
Harbour,LEGOLAND,518.0,,
Wild West,LEGOLAND,602.0,,
Space Module with Astronauts,LEGOLAND,364.0,,
1913 Cadillac,Hobby Set,200.0,,
1926 Renault,Hobby Set,237.0,,
Formula 1,Hobby Set,197.0,,
Biplane,LEGOLAND,18.0,,
Rescue Helicopter,LEGOLAND,62.0,,
Mobile Crane,LEGOLAND,46.0,,
Bricks and half bricks,Duplo,20.0,,
Bricks and half bricks and arches,Duplo,121.0,,
Bricks and half bricks and trolley,Duplo,17.0,,
Bricks and half bricks and arches and trolley,Duplo,240.0,,
Bricks and half bricks and two tolleys,Duplo,168.0,,
Bricks and half bricks all colours,Duplo,640.0,,
Brick Yard,LEGOLAND,216.0,,
Forklift,LEGOLAND,21.0,,
Police Patrol,LEGOLAND,49.0,,
Air Transporter,LEGOLAND,39.0,,
Road Repair Crew,LEGOLAND,57.0,,
Fire engine with firemen,LEGOLAND,62.0,,
Transport Truck,LEGOLAND,65.0,,
London Bus,LEGOLAND,110.0,,
Tractor,Building Set with People,93.0,,
Holdall Storage Bag,Gear,,,
Super Set,Universal Building Set,,,
"Basic Building Set, 3+",Basic,152.0,,
"Basic Building Set, 3+",Basic,217.0,,
"Basic Building Set, 3+",Basic,258.0,,
"Basic Building Set, 3+",Basic,258.0,,
"Basic Building Set, 3+",Basic,382.0,,
Basic Set,Samsonite,291.0,,
PreSchool Set,PreSchool,20.0,,
Police Station,PreSchool,28.0,,
Train Station,PreSchool,53.0,,
LEGOVille,PreSchool,66.0,,
Universal Motor,Basic,137.0,,
Battery box,Basic,1.0,,
Level Crossing,Trains,68.0,,
Refrigerated Wagon,Trains,115.0,,
Fuel Refinery,Trains,328.0,,
Straight Track,Trains,25.0,,
Curved Track,Trains,25.0,,
Straight Track with Crossing,Trains,25.0,,
Train Set with Motor and Signal,Trains,194.0,,
Family,Building Set with People,94.0,,
Farm Set,Building Set with People,120.0,,
Cowboys,Building Set with People,39.0,,
Mother and baby with dog,Building Set with People,46.0,,
Scooter,Building Set with People,23.0,,
Police Officers and Motorcycle,Building Set with People,86.0,,
Zoo (with Baseboard),Basic,486.0,,
Police Launch,LEGOLAND,53.0,,
Container Ship,LEGOLAND,95.0,,
Taxi Garage,LEGOLAND,156.0,,
Coast Guard Station,LEGOLAND,275.0,,
Police Headquarters,LEGOLAND,280.0,,
Jeep with Steering,LEGOLAND,57.0,,
Air Ambulance,LEGOLAND,151.0,,
Excavator and Dumper,LEGOLAND,159.0,,
Norton Motorcycle,Hobby Set,133.0,,
Harley-Davidson 1000cc,Hobby Set,143.0,,
