title,name,location,time,verified,review,aircraft,travel,seat_type,route,flown,rating,comf_rating,cabin_rating,food_rating,inflight_rating,ground_rating,money_rating,recomindation
they declined a small goodwill gesture,Paul Nicoll,United Kingdom,9th July 2026,Trip Verified,9th July 2026,,Solo Leisure,Business Class,Sydney to Doha,July 2026,5/10,5.0,3.0,3.0,3.0,5.0,3,
showed incredible leadership,Maher AlShaaban,Qatar,24th June 2026,Trip Verified,24th June 2026,,Family Leisure,Economy Class,Doha to Jakarta,June 2026,10/10,3.0,5.0,4.0,1.0,5.0,5,
just had to just sleep,Alwaleed Althani,Qatar,6th June 2026,Trip Verified,6th June 2026,A350-1000,A350-1000,Business Class,Hong Kong to Doha,May 2026,9/10,4.0,4.0,,,3.0,4,
sandwich no choice,Alwaleed Althani,Qatar,6th June 2026,Trip Verified,6th June 2026,A330-200,A330-200,Business Class,CAN to HKG,May 2026,6/10,3.0,3.0,1.0,1.0,3.0,3,
cabin crew was professional and friendly,L Casine,France,29th May 2026,Trip Verified,29th May 2026,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Guangzhou to Doha,May 2026,6/10,2.0,5.0,5.0,5.0,2.0,2,
Outstanding experience,K Dhanoop,Qatar,21st May 2026,Trip Verified,21st May 2026,,Solo Leisure,Business Class,Doha to Kochi,May 2026,10/10,5.0,5.0,5.0,5.0,5.0,5,
Very nice QSuites,Alwaleed Althani,Qatar,19th May 2026,Trip Verified,19th May 2026,Boeing 777-300,Boeing 777-300,Business Class,Doha to Guangzhou,May 2026,8/10,5.0,4.0,,4.0,5.0,4,
service was very good,Michael Schade,Thailand,14th May 2026,Trip Verified,14th May 2026,Boeing 789/ / 777-300,Boeing 789/ / 777-300,Business Class,Frankfurt to Bangkok via Doha,May 2026,5/10,4.0,5.0,4.0,3.0,1.0,3,
service was of excellent quality,Alwaleed Althani,Qatar,11th May 2026,Trip Verified,11th May 2026,Boeing 777,Boeing 777,Business Class,LHR to DOH,May 2026,9/10,5.0,5.0,,,5.0,4,
Boarding in Johannesburg was chaotic,Alwaleed Althani,Qatar,9th April 2026,Trip Verified,9th April 2026,Boeing 787-9,Boeing 787-9,Business Class,Johannesburg to Doha,April 2026,6/10,3.0,3.0,1.0,4.0,1.0,4,
Very comfortable flight,Alwaleed Althani,Qatar,6th April 2026,Not Verified,6th April 2026,Boeing 787-9,Boeing 787-9,Business Class,Doha to Johannesburg,April 2026,10/10,5.0,5.0,4.0,5.0,5.0,4,
no realistic re-routing options,C Barlanek,Czech Republic,15th March 2026,Trip Verified,15th March 2026,A380-800,A380-800,Economy Class,Prague to Bangkok via Doha,February 2026,1/10,,,,,,2,
a great lie-flat seat,Eelco van den Heuvel,Netherlands,15th March 2026,Trip Verified,15th March 2026,A350/A380,A350/A380,Business Class,Amsterdam to Bangkok via Doha,February 2026,10/10,5.0,5.0,5.0,3.0,4.0,5,
Ticket was cheap,R Jones,United Kingdom,18th February 2026,Trip Verified,18th February 2026,Boeing 87,Boeing 87,Economy Class,Gatwick to Doha,February 2026,5/10,4.0,2.0,2.0,,1.0,5,
experience was not one of our best,Colin Kay,United Kingdom,8th February 2026,Trip Verified,8th February 2026,,Couple Leisure,Business Class,London to Male via Doha,February 2026,5/10,5.0,5.0,1.0,,5.0,3,
No compensation offered,R Morsch,Austria,5th February 2026,Trip Verified,5th February 2026,Boeing 777-300 / A350-900,Boeing 777-300 / A350-900,Business Class,Doha to Vienna,February 2026,2/10,4.0,4.0,2.0,4.0,1.0,1,
changed my pre arranged seat,Andrew Buckley,Ireland,30th January 2026,Trip Verified,30th January 2026,,Business,Business Class,Sydney to Doha,January 2026,2/10,,,,,4.0,2,
predictably high-quality product,Rajan Parrikar,Iceland,24th January 2026,Trip Verified,24th January 2026,Boeing 787-8,Boeing 787-8,Business Class,Goa to Doha,January 2026,9/10,5.0,3.0,,,5.0,4,
my seat was cramped,Rajan Parrikar,Iceland,24th January 2026,Trip Verified,24th January 2026,Boeing 787-9,Boeing 787-9,Business Class,Doha to Copenhagen,January 2026,4/10,2.0,1.0,3.0,,5.0,4,
very impressed with the service,J Keshy,Ireland,18th January 2026,Trip Verified,18th January 2026,,Solo Leisure,Economy Class,Dublin to Muscat via Doha,January 2026,10/10,4.0,5.0,5.0,4.0,5.0,5,
excellent service provided,Michael Schade,Germany,14th January 2026,Trip Verified,14th January 2026,Boeing 787-8 / A380,Boeing 787-8 / A380,Business Class,Frankfurt to Bangkok via Doha,December 2025,8/10,3.0,5.0,3.0,4.0,4.0,3,
food choices ran out,Jamie King,Portugal,11th January 2026,Trip Verified,11th January 2026,,Family Leisure,Economy Class,Auckland to Lisbon via Doha,January 2026,4/10,2.0,3.0,3.0,4.0,4.0,2,
